x,y,token
-7.8250275,-46.6856,blessed
-30.618397,7.3092475,instance
-45.535347,-13.262994,leave
1.5536845,36.65332,making
-43.372902,-2.0784216,understand
-51.946926,21.033579,endeavour
-44.651535,9.590802,properly
-49.87738,26.980444,endeavouring
-28.118752,-18.00542,bring
-48.58555,-27.07896,worthy
-37.468178,19.807602,employment
2.2526352,-14.731029,young
-6.5598307,46.546524,lady
-44.63086,0.8607482,imagine
3.5468037,-49.705708,saying
-41.71883,-3.8695252,yourself
-45.804375,-4.7334247,idle
3.2191372,54.20235,",'"
-40.733994,-10.016435,why
-42.901356,-4.640878,talk
-48.757896,17.8026,merit
-17.064589,-19.129698,proud
-40.662518,-5.4008408,guess
-38.899353,-1.4704058,_that_
-32.509426,-9.096755,can
-22.611538,-3.2654183,known
-32.799232,-26.521175,triumph
-37.22374,7.7369003,depend
-20.043348,11.522057,merely
-32.28685,-2.7909958,luck
-32.657,16.776033,talent
3.1967711,-52.14197,word
-36.5251,4.5835137,quarrel
-46.154648,17.056408,claim
29.094301,14.2170515,drawn
-9.593436,10.4453945,pictures
11.743123,37.230774,something
-53.417118,-7.415117,nothing
-37.886578,37.244,visits
-18.536839,-24.088432,given
-34.910362,4.7123976,matters
-20.180132,55.75915,enough
-44.192287,1.6816094,comprehend
23.485415,35.353302,open
-29.821383,15.242367,hearted
-37.18071,-0.4041995,weston
-30.011518,15.267802,unaffected
-2.967496,-24.48732,safely
-40.447426,-5.8139415,manage
-46.32817,11.5857725,likely
-53.390038,-7.3639507,harm
-49.236343,10.9149065,interference
0.12881869,46.17603,rejoined
-28.670835,-44.624985,understanding
-32.078384,2.5831745,silly
17.305511,-24.151546,break
-8.431844,25.230429,circle
-50.175705,39.001873,mr_elton
9.177378,53.132202,",--"
-6.757651,8.308249,whole
-6.462467,9.284682,fitted
-35.99497,40.379246,comfortably
-16.232327,-29.401804,shame
-14.550596,38.661114,longer
34.42376,12.488742,joining
14.319477,-10.561803,hands
-7.884514,21.6569,same
-20.016176,1.8015764,service
-26.16448,-35.19661,shew
-44.35496,29.619635,attention
-43.044315,-6.94139,ask
-37.368015,-3.0039709,dare_say
7.261399,53.497543,laughing
-48.59466,4.483491,invite
16.160631,32.289173,fish
-46.875504,2.8079839,chuse
46.836136,-47.53719,six
-44.728977,5.3684597,care
2.155755,27.37944,ii
19.764542,0.5071901,native
5.049855,-33.792595,born
-29.950737,13.326361,respectable
20.66961,-35.658314,generations
45.767918,7.0005836,rising
-35.49169,15.719091,property
-26.870584,-5.3655214,received
-44.35056,21.684242,education
-30.703785,30.766932,succeeding
9.273997,27.651192,small
-23.289803,-27.393494,become
-5.4602766,7.227319,homely
-35.18397,19.652332,pursuits
-0.28784132,-20.193874,brothers
-36.702343,40.255016,engaged
-52.079063,7.107141,satisfied
-42.447468,20.68474,active
-33.199066,20.25626,social
33.571632,-42.970688,entering
-5.4826574,26.039783,county
-9.942186,42.25482,captain
-26.284948,13.891584,general
-25.57712,30.196718,favourite
6.708934,22.151281,military
-43.918804,39.016644,introduced
-46.77121,43.64898,churchill
-13.081898,23.061514,yorkshire
11.233892,-20.012917,fell
-5.836028,-35.980015,love
-43.793556,0.33473134,surprized
6.2480507,34.46731,except
26.194304,-16.908028,full
-13.13133,-17.434378,pride
-43.945526,18.469416,importance
-45.058556,19.692469,connexion
-47.16129,-4.779608,offend
-26.32429,-33.984837,command
24.637259,27.953619,bore
-43.017643,18.313416,proportion
-34.88079,15.507722,estate
10.67461,-25.39154,took
-8.080645,-9.889095,infinite
-38.544895,29.699377,mortification
-11.870089,54.664574,mrs
36.360126,39.972546,threw
-32.98704,13.958315,due
-23.09887,1.1716425,decorum
-37.730434,17.712408,produce
-42.106987,-0.6069613,ought
-6.2561398,-29.926386,whose
-29.298584,20.36458,warm
33.767605,-18.38945,sweet
-30.478848,-27.886436,return
-25.396145,-41.602177,goodness
-11.04744,-32.149418,spirit
-47.532555,27.956867,resolution
-24.002518,-29.178654,pursue
-12.459087,-11.571876,refrain
-42.381462,6.862913,unreasonable
-8.155673,-29.278965,anger
-2.8197017,26.904882,missing
-55.164066,25.64473,former
-36.58975,17.352022,income
20.161896,22.36479,still
-44.738224,19.437351,comparison
-37.59137,43.882103,enscombe
-21.047335,-26.58182,cease
2.580778,35.50023,once
-48.084892,30.12871,considered
-38.029613,13.962963,churchills
-16.011185,17.043083,amazing
-37.106983,3.4282098,worst
-36.39007,5.2695065,bargain
3.5250823,-20.773958,child
-38.06698,19.067293,expense
-23.198063,38.214012,relieved
11.818958,53.204838,boy
-24.553125,26.290173,additional
14.793241,6.1671543,lingering
-38.993114,33.74975,illness
-33.481117,13.720745,reconciliation
13.655333,-54.801228,kindred
42.15189,-37.44233,offered
-19.149708,1.4391403,charge
-48.345898,40.65608,frank
-47.90343,16.35234,scruples
-47.574368,16.934566,reluctance
-45.63815,25.70065,supposed
-56.2509,5.131875,overcome
-17.25635,5.69614,considerations
-6.3803525,-5.8377213,wealth
-22.54938,-29.422857,seek
